N,P,K,temperature,humidity,ph,rainfall,label
55,61,158,28.48,86.65377337954385,4.96,185.1154349715046,rice
138,97,114,16.17,94.39811055985025,6.85,255.68802138928368,rice
87,41,153,13.75,80.686503508644,6.92,290.20391114141097,rice
9,64,42,23.42,80.41665854841612,5.74,163.22834773908346,rice
16,53,45,12.18,96.52720877679128,3.83,216.14958326336196,rice
131,64,158,14.41,81.20223525920663,8.15,193.76110409879422,rice
80,114,114,18.8,93.3117251595187,9.11,260.95052601430604,rice
111,13,162,27.21,96.58167304107391,7.1,261.2793384393298,rice
41,9,191,32.9,80.05951533132021,7.5,152.75763045217545,rice
22,62,120,20.6,96.28701751514856,5.15,232.98678308865746,rice
25,87,158,29.69,92.78252633414043,3.98,262.1530270150552,rice
92,59,32,16.04,98.52330749157548,9.08,287.6708336940495,rice
62,74,202,20.37,84.20874048891278,6.98,259.9787403362247,rice
108,55,89,33.92,97.68199544726471,5.42,176.94893912201667,rice
67,48,84,33.09,88.81769302599258,3.9,157.10120184655025,rice
21,53,30,36.01,97.69716921882988,5.86,164.64910182791374,rice
70,117,166,29.41,81.96426753615629,8.42,235.40971570155085,rice
106,40,24,19.98,96.38958475852917,6.38,192.2937191876557,rice
62,116,77,14.08,93.6527547464467,7.66,217.17359583834286,rice
69,91,55,28.56,89.61969557990179,4.68,226.9105134837814,rice
0,97,99,33.33,98.52729491716434,8.71,258.08382884017624,rice
120,125,67,16.91,85.60150796443834,5.58,236.9572191186206,rice
16,108,123,11.28,86.2236372495347,7.17,213.2301241930216,rice
94,101,90,34.78,92.97597875115589,5.35,243.56240817208487,rice
44,38,188,27.37,90.57911613281303,7.38,216.01667401587326,rice
11,46,120,31.63,84.16869185248498,8.6,243.45791747417346,rice
86,62,39,13.7,84.0567975101972,7.25,236.4010083174224,rice
79,119,161,17.99,89.76310796426924,7.16,222.91745796736245,rice
8,80,143,19.85,86.56139740700121,3.92,271.7883327693824,rice
27,84,172,43.18,87.31378734276953,7.42,187.34538325324493,rice
118,52,112,32.66,95.62774891351025,3.6,178.62573355695378,rice
40,52,49,28.49,86.0990253570331,8.13,235.7428290566698,rice
116,67,121,14.65,85.76750567413818,4.02,290.46561753389295,rice
51,139,118,26.72,95.99527318458773,6.99,252.06202436407872,rice
69,121,112,13.06,93.34043696231619,5.2,281.934071611989,rice
8,61,26,20.44,86.28547488805751,8.36,200.54268029648998,rice
9,128,83,36.58,84.00596055144956,5.65,203.75420283649177,rice
7,77,136,42.13,94.68951394926108,5.57,268.51424232112356,rice
132,103,45,12.32,89.64645029139294,4.1,161.5922469968768,rice
7,116,97,18.34,86.78495151477613,5.82,217.29866881864749,rice
97,52,95,41.42,87.32211487032745,8.7,296.1233603903046,rice
110,83,153,35.34,99.20779923182306,7.59,227.56119174721468,rice
106,82,137,8.9,82.35967840866358,5.51,150.66599959814195,rice
84,127,97,15.31,87.93428377517928,7.09,201.96303391258039,rice
15,75,68,30.57,83.04400466006281,7.81,213.29795356884563,rice
63,139,140,38.31,86.29753504328183,5.7,295.42025096977557,rice
11,51,45,23.64,88.25267795725293,6.27,279.0882998785502,rice
107,75,84,41.88,94.17524980540995,4.96,216.02389000902963,rice
8,23,139,17.31,80.88119193391744,7.07,184.41466145825956,rice
119,9,86,39.95,87.57694509535072,5.05,254.42702906402556,rice
99,69,53,38.17,89.30916743997847,5.27,151.74868708659687,rice
93,28,138,29.72,88.79141477968702,6.4,240.70908576863582,rice
129,20,193,8.91,91.18766963747566,9.79,170.3196134471709,rice
36,98,112,21.76,81.48116171410173,4.0,191.72597965726877,rice
91,32,109,40.22,83.59296801494523,9.68,278.29899954892153,rice
44,97,91,21.75,95.37797212107765,3.79,176.73532178970146,rice
127,12,67,11.01,89.77258945160912,5.21,217.8798967668239,rice
50,139,129,38.66,96.06533644474823,9.21,240.94554250130517,rice
0,26,167,14.67,83.0571051535876,9.51,299.11469122186895,rice
25,29,96,23.1,86.18126894077675,6.57,293.2172632888763,rice
102,109,32,35.94,99.40067963141733,4.32,238.48813815096088,rice
31,120,92,25.68,82.28776768040237,7.39,239.6299835205686,rice
97,77,153,11.27,96.30755346913465,6.48,164.5590690091475,rice
91,47,101,28.57,92.69031367006401,8.68,225.90956188550268,rice
8,129,57,39.97,88.26720160575184,7.77,183.8925590322086,rice
35,16,147,37.0,95.63326713911795,4.03,181.78786704951207,rice
121,27,91,20.75,93.97807610651374,9.73,212.0589632414457,rice
129,23,70,42.62,95.39293826681855,3.79,264.84680530479,rice
60,88,137,39.64,91.34129951534595,9.6,238.4013215895111,rice
102,83,37,39.09,88.70084559760416,9.49,157.01273017695146,rice
